Designator,Mid X,Mid Y,Rotation,Layer
C1,106.66,-24.84,180.0,bottom
C10,125.315,-22.55,180.0,bottom
C11,123.475,-24.5975,180.0,bottom
C12,171.04,-124.545,270.0,bottom
C13,177.8075,-121.31,270.0,bottom
C14,175.33,-116.5525,0.0,bottom
C2,44.775,-24.84,180.0,bottom
C3,63.8,-24.83,180.0,bottom
C4,168.575,-24.84,180.0,bottom
C5,149.525,-24.84,180.0,bottom
C6,111.6,-23.64,0.0,bottom
C7,114.9,-23.64,180.0,bottom
C8,122.24,-22.55,180.0,bottom
C9,119.105,-22.55,0.0,bottom
CN1,161.925,-117.54,180.0,bottom
D1,43.18,-42.1,90.0,bottom
D10,86.0425,-65.9125,90.0,bottom
D11,105.0925,-65.9125,90.0,bottom
D12,124.1425,-65.9125,90.0,bottom
D13,147.955,-61.15,90.0,bottom
D14,167.005,-61.15,90.0,bottom
D15,43.18,-80.2,90.0,bottom
D16,62.23,-80.2,90.0,bottom
D17,86.0425,-84.9625,90.0,bottom
D18,105.0925,-84.9625,90.0,bottom
D19,124.1425,-84.9625,90.0,bottom
D2,62.23,-42.1,90.0,bottom
D20,147.955,-80.2,90.0,bottom
D21,167.005,-80.2,90.0,bottom
D22,43.18,-99.25,90.0,bottom
D23,62.23,-99.25,90.0,bottom
D24,147.955,-99.25,90.0,bottom
D25,167.005,-99.25,90.0,bottom
D26,189.83,-67.3,270.0,bottom
D27,189.83,-86.35,270.0,bottom
D28,52.705,-118.3,90.0,bottom
D29,163.686355,-141.735351,120.0,bottom
D3,86.0425,-42.1,90.0,bottom
D30,174.46,-118.8525,180.0,bottom
D4,105.0925,-42.1,90.0,bottom
D5,124.1425,-42.1,90.0,bottom
D6,147.955,-42.1,90.0,bottom
D7,167.005,-42.1,90.0,bottom
D8,43.18,-61.15,90.0,bottom
D9,62.23,-61.15,90.0,bottom
Q1,182.95,-125.06,0.0,bottom
R1,93.38,-26.69,0.0,bottom
R10,136.0,-26.689919,180.0,bottom
R11,167.805,-125.32,0.0,bottom
R12,178.93,-125.06,0.0,bottom
R13,179.7075,-121.31,90.0,bottom
R14,182.07,-116.5525,0.0,bottom
R19,182.07,-118.25,180.0,bottom
R2,106.66,-26.69,180.0,bottom
R3,44.775,-26.69,0.0,bottom
R4,31.23,-26.69,180.0,bottom
R5,63.85,-26.69,0.0,bottom
R6,50.262992,-26.692992,180.0,bottom
R7,168.575,-26.689919,0.0,bottom
R8,155.035,-26.689919,180.0,bottom
R9,149.525,-26.689919,0.0,bottom
S1,38.1,-38.1,0.0,top
S10,80.9625,-61.9125,0.0,top
S11,100.0125,-61.9125,0.0,top
S12,119.0625,-61.9125,0.0,top
S13,142.875,-57.15,0.0,top
S14,161.925,-57.15,0.0,top
S15,38.1,-76.2,0.0,top
S16,57.15,-76.2,0.0,top
S17,80.9625,-80.9625,0.0,top
S18,100.0125,-80.9625,0.0,top
S19,119.0625,-80.9625,0.0,top
S2,57.15,-38.1,0.0,top
S20,142.875,-76.2,0.0,top
S21,161.925,-76.2,0.0,top
S22,38.1,-95.25,0.0,top
S23,57.15,-95.25,0.0,top
S24,142.875,-95.25,0.0,top
S25,161.925,-95.25,0.0,top
S26,47.625,-114.3,0.0,top
S27,161.286946,-135.73125,330.0,top
S3,80.9625,-38.1,0.0,top
S4,100.0125,-38.1,0.0,top
S5,119.0625,-38.1,0.0,top
S6,142.875,-38.1,0.0,top
S7,161.925,-38.1,0.0,top
S8,38.1,-57.15,0.0,top
S9,57.15,-57.15,0.0,top
SW1,184.98,-76.2,0.0,top
SW2,184.98,-95.25,0.0,top
U1,184.889613,-38.19,0.0,top
U2,119.0625,-25.9275,0.0,bottom
U3,174.87,-125.06,90.0,bottom
U4,178.7575,-117.7025,180.0,bottom
USB1,100.01,-24.31,180.0,bottom
USB2,38.1,-24.31,180.0,bottom
USB3,57.15,-24.31,180.0,bottom
USB4,161.925,-24.309919,180.0,bottom
USB5,142.874903,-24.309919,180.0,bottom
